"","Titulo","Ubicacion","Matricula ficticia","Carrera","ISBN","language_reference","Instituto"
"237","domine php y mysql","BCC",13290,"DIRECTOR DE LA DIVISION MULTIDISCIPLINARIA DE LA UACJ-NCG","9701512693","english","DIRECTOR DE LA DIVISION MULTIDISCIPLINARIA DE LA UACJ-NCG"
"238","domine php y mysql","BCC",124246,"  Ingeniería de Software","9701512693","english","  IIT"
"239","domine php y mysql","BCC",117456,"","9701512693","english",""
"240","domine php y mysql","BCC",119823,"NULL","9701512693","english","NULL"
"241","domine php y mysql","BCC",254785,"Ingeniería en Sistemas Computacionales","9701512693","english","IIT"
"242","domine php y mysql","BCC",117102,"Licenciatura en Diseño Gráfico","9701512693","english","IADA"
"243","domine php y mysql","BCC",254785,"NULL","9701512693","english","NULL"
"244","domine php y mysql","BCC",254785,"NULL","9701512693","english","NULL"
"245","domine php y mysql","BCC",147792," Ingeniería de Software","9701512693","english"," IIT"
"246","diseases of sheep","BCC",168885," Médico Veterinario Zootecnista","9781405134149","english"," ICB"
"247","diseases of sheep","BCC",200895," Médico Veterinario Zootecnista","9781405134149","english"," ICB"
"248","mathematics for economists","BCC",254785," Licenciatura en Economía","0393957330","english"," ICSA"
"249","mathematics for economists","BCC",254785," Licenciatura en Economía","0393957330","english"," ICSA"
"250","mathematics for economists","BCC",129522,"  Licenciatura en Psicología","0393957330","english","  ICSA"
"251","mathematics for economists","BCC",129522,"  Licenciatura en Psicología","0393957330","english","  ICSA"
"252","mathematics for economists","BCC",254785," Licenciatura en Economía","9780393957334","english"," ICSA"
"253","mathematics for economists","BCC",254785," Licenciatura en Economía","9780393957334","english"," ICSA"
"254","mathematics for economists","BCC",129522,"  Licenciatura en Psicología","9780393957334","english","  ICSA"
"255","mathematics for economists","BCC",129522,"  Licenciatura en Psicología","9780393957334","english","  ICSA"
"256","mathematics for economists","BCC",254785," Licenciatura en Economía","0393957330","english"," ICSA"
"257","mathematics for economists","BCC",254785," Licenciatura en Economía","0393957330","english"," ICSA"
"258","mathematics for economists","BCC",129522,"  Licenciatura en Psicología","0393957330","english","  ICSA"
"259","mathematics for economists","BCC",129522,"  Licenciatura en Psicología","0393957330","english","  ICSA"
"260","aspects of language teaching","BCC",169569," Licenciatura en Enseñanza del Inglés","0194371832","english"," ICSA"
"261","aspects of language teaching","BCC",169569," Licenciatura en Enseñanza del Inglés","9780194371834","english"," ICSA"
"262","aspects of language teaching","BCC",169569," Licenciatura en Enseñanza del Inglés","019437128","english"," ICSA"
"263","aspects of language teaching","BCC",169569," Licenciatura en Enseñanza del Inglés","9780194371285","english"," ICSA"
"264","degarmos materials and processes in manufacturing","BCC",143773,"","9780470055120","english",""
"265","degarmos materials and processes in manufacturing","BCC",254785,"NULL","9780470055120","english","NULL"
"266","degarmos materials and processes in manufacturing","BCC",143773,"","0132613719","english",""
"267","degarmos materials and processes in manufacturing","BCC",254785,"NULL","0132613719","english","NULL"
"268","toefl reading flash 2002","BCC",913324,"NULL","0768906253","english","NULL"
"269","toefl reading flash 2002","BCC",913324,"NULL","9780768906257","english","NULL"
"270","oxford handbook of legal correspondence","BCC",15515,"Maestria en Educación ","0194571939","english","Maestr¡a en Educaci¢n "
"271","oxford handbook of legal correspondence","BCC",15515,"Maestria en Educación ","9780194571937","english","Maestr¡a en Educaci¢n "
"272","derecho bancario","BCC",913967,"ACTUALIZAR DATOS, DIRECCION, CORREO ELECTRONICO, ETC","9706137610","english","ACTUALIZAR DATOS, DIRECCION, CORREO ELECTRONICO, ETC"
"273","derecho bancario","BCC",135626,"NULL","9706137610","english","NULL"
"274","derecho bancario","BCC",153336," Licenciatura en Derecho","9706137610","english"," ICSA"
"275","derecho bancario","BCC",129314,"  Licenciatura en Derecho","9706137610","english","  ICSA"
"276","derecho bancario","BCC",254785,"NULL","9706137610","english","NULL"
"277","derecho bancario","BCC",913967,"ACTUALIZAR DATOS, DIRECCION, CORREO ELECTRONICO, ETC","9789706137616","english","ACTUALIZAR DATOS, DIRECCION, CORREO ELECTRONICO, ETC"
"278","derecho bancario","BCC",135626,"NULL","9789706137616","english","NULL"
"279","derecho bancario","BCC",153336," Licenciatura en Derecho","9789706137616","english"," ICSA"
"280","derecho bancario","BCC",129314,"  Licenciatura en Derecho","9789706137616","english","  ICSA"
"281","derecho bancario","BCC",254785,"NULL","9789706137616","english","NULL"
"282","teaching american english pronunciation","BCC",169591," Licenciatura en Enseñanza del Inglés","0194328155","english"," ICSA"
"283","teaching american english pronunciation","BCC",155009,"NULL","0194328155","english","NULL"
"284","teaching american english pronunciation","BCC",155009,"NULL","0194328155","english","NULL"
"285","teaching american english pronunciation","BCC",155009,"NULL","0194328155","english","NULL"
"286","teaching american english pronunciation","BCC",169591," Licenciatura en Enseñanza del Inglés","9780194328159","english"," ICSA"
"287","teaching american english pronunciation","BCC",155009,"NULL","9780194328159","english","NULL"
"288","teaching american english pronunciation","BCC",155009,"NULL","9780194328159","english","NULL"
"289","teaching american english pronunciation","BCC",155009,"NULL","9780194328159","english","NULL"
"290","harry potter and the prisoner of azkaban","BCC",190201," Ingeniería en Mecatrónica","043965548","english"," IIT"
"291","harry potter and the prisoner of azkaban","BCC",190201," Ingeniería en Mecatrónica","9780439655484","english"," IIT"
"292","derecho agrario","BCC",254785,"NULL","9706138013","english","NULL"
"293","derecho agrario","BCC",146799,"NULL","9706138013","english","NULL"
"294","derecho agrario","BCC",159445," Licenciatura en Derecho","9706138013","english"," ICSA"
"295","derecho agrario","BCC",140461,"","9706138013","english",""
"296","derecho agrario","BCC",129673,"  Licenciatura en Derecho","9706138013","english","  ICSA"
"297","derecho agrario","BCC",254785,"NULL","9789706138019","english","NULL"
"298","derecho agrario","BCC",146799,"NULL","9789706138019","english","NULL"
"299","derecho agrario","BCC",159445," Licenciatura en Derecho","9789706138019","english"," ICSA"
"300","derecho agrario","BCC",140461,"","9789706138019","english",""
"301","derecho agrario","BCC",129673,"  Licenciatura en Derecho","9789706138019","english","  ICSA"
"302","learning and teaching english a course for teachers","BCC",169591," Licenciatura en Enseñanza del Inglés","0194422771","english"," ICSA"
"303","learning and teaching english a course for teachers","BCC",160045," Licenciatura en Enseñanza del Inglés","0194422771","english"," ICSA"
"304","learning and teaching english a course for teachers","BCC",145658,"","0194422771","english",""
"305","learning and teaching english a course for teachers","BCC",155009,"NULL","0194422771","english","NULL"
"306","learning and teaching english a course for teachers","BCC",129731," Licenciatura en Pedagogía del Inglés como segunda lengua ","0194422771","english"," ICSA "
"307","learning and teaching english a course for teachers","BCC",124828,"","0194422771","english",""
"308","learning and teaching english a course for teachers","BCC",160040," Licenciatura en Enseñanza del Inglés","0194422771","english"," ICSA"
"309","learning and teaching english a course for teachers","BCC",913167,"NULL","0194422771","english","NULL"
"310","learning and teaching english a course for teachers","BCC",169591," Licenciatura en Enseñanza del Inglés","9780194422772","english"," ICSA"
"311","learning and teaching english a course for teachers","BCC",160045," Licenciatura en Enseñanza del Inglés","9780194422772","english"," ICSA"
"312","learning and teaching english a course for teachers","BCC",145658,"","9780194422772","english",""
"313","learning and teaching english a course for teachers","BCC",155009,"NULL","9780194422772","english","NULL"
